hex,file,line,context,usage_guess,suggested_token
#ffffff,frontend/src/components/ContextualSaveBar/index.jsx,13,<Warning size={18} className="text-[#FFFFFF]" />,text,--surface
#ffffff,frontend/src/components/ContextualSaveBar/index.jsx,13,<Warning size={18} className="text-[#FFFFFF]" />,text,--surface
#ffffff,frontend/src/components/ContextualSaveBar/index.jsx,14,<p className="text-[#FFFFFF] font-medium text-xs">Unsaved Changes</p>,text,--surface
#ffffff,frontend/src/components/ContextualSaveBar/index.jsx,14,<p className="text-[#FFFFFF] font-medium text-xs">Unsaved Changes</p>,text,--surface
#222628,frontend/src/components/DataConnectorOption/media/github.svg,3,<path d="M27.9829 16.8445V17.6583C27.9812 19.0353 27.4813 20.3652 26.5756 21.4024C25.6699 22.4395 24.4194 23.114 23.0552 23.3012C23.6121 24.0137 23.9143 24.8922 23.9138 25.7965V29.8656C23.9138 30.0815 23.8281 30.2885 23.6754 30.4411C23.5228 30.5937 23.3158 30.6794 23.1 30.6794H16.5894C16.3736 30.6794 16.1666 30.5937 16.014 30.4411C15.8613 30.2885 15.7756 30.0815 15.7756 29.8656V28.238H13.3341C12.255 28.238 11.22 27.8093 10.4569 27.0462C9.69375 26.2831 9.26505 25.2481 9.26505 24.1689C9.26505 23.5214 9.00782 22.9004 8.54996 22.4425C8.0921 21.9847 7.4711 21.7274 6.82359 21.7274C6.60775 21.7274 6.40075 21.6417 6.24813 21.4891C6.09551 21.3364 6.00977 21.1294 6.00977 20.9136C6.00977 20.6978 6.09551 20.4908 6.24813 20.3381C6.40075 20.1855 6.60775 20.0998 6.82359 20.0998C7.35795 20.0998 7.88708 20.205 8.38076 20.4095C8.87445 20.614 9.32302 20.9137 9.70087 21.2916C10.0787 21.6694 10.3785 22.118 10.5829 22.6117C10.7874 23.1054 10.8927 23.6345 10.8927 24.1689C10.8927 24.8164 11.1499 25.4374 11.6078 25.8953C12.0656 26.3531 12.6866 26.6103 13.3341 26.6103H15.7756V25.7965C15.7751 24.8922 16.0773 24.0137 16.6342 23.3012C15.27 23.114 14.0196 22.4395 13.1138 21.4024C12.2081 20.3652 11.7082 19.0353 11.7065 17.6583V16.8445C11.7166 15.8331 11.986 14.8412 12.4888 13.9636C12.24 13.1612 12.1602 12.3159 12.2544 11.4811C12.3486 10.6463 12.6148 9.84005 13.0361 9.11322C13.1075 8.98948 13.2103 8.88673 13.334 8.8153C13.4578 8.74387 13.5982 8.70628 13.7411 8.70631C14.689 8.70433 15.6242 8.92407 16.472 9.34799C17.3199 9.77191 18.0568 10.3883 18.624 11.1478H21.0654C21.6326 10.3883 22.3695 9.77191 23.2174 9.34799C24.0652 8.92407 25.0005 8.70433 25.9484 8.70631C26.0912 8.70628 26.2316 8.74387 26.3554 8.8153C26.4791 8.88673 26.5819 8.98948 26.6533 9.11322C27.0747 9.84003 27.3408 10.6463 27.4348 11.4812C27.5289 12.316 27.4488 13.1613 27.1996 13.9636C27.7034 14.8409 27.9731 15.8329 27.9829 16.8445Z" fill="#222628"/>,,--fg
#ffffff,frontend/src/components/DataConnectorOption/media/gitlab.svg,2,<rect width="380" height="380" fill="#FFFFFF"/>,,--surface
#e24329,frontend/src/components/DataConnectorOption/media/gitlab.svg,3,<path fill="#e24329" d="M282.83;170.73l-.27-.69-26.14-68.22a6.81;6.81;0;0;0-2.69-3.24;7;7;0;0;0-8;.43;7;7;0;0;0-2.32;3.52l-17.65;54H154.29l-17.65-54A6.86;6.86;0;0;0;134.32;99a7;7;0;0;0-8-.43;6.87;6.87;0;0;0-2.69;3.24L97.44;170l-.26.69a48.54;48.54;0;0;0;16.1;56.1l.09.07.24.17;39.82;29.82;19.7;14.91;12;9.06a8.07;8.07;0;0;0;9.76;0l12-9.06;19.7-14.91;40.06-30;.1-.08A48.56;48.56;0;0;0;282.83;170.73Z"/>,,--error
#fc6d26,frontend/src/components/DataConnectorOption/media/gitlab.svg,4,<path fill="#fc6d26" d="M282.83;170.73l-.27-.69a88.3;88.3;0;0;0-35.15;15.8L190;229.25c19.55;14.79;36.57;27.64;36.57;27.64l40.06-30;.1-.08A48.56;48.56;0;0;0;282.83;170.73Z"/>,,--error
#fca326,frontend/src/components/DataConnectorOption/media/gitlab.svg,5,<path fill="#fca326" d="M153.43;256.89l19.7;14.91;12;9.06a8.07;8.07;0;0;0;9.76;0l12-9.06;19.7-14.91S209.55;244;190;229.25C170.45;244;153.43;256.89;153.43;256.89Z"/>,,--warning
#fc6d26,frontend/src/components/DataConnectorOption/media/gitlab.svg,6,<path fill="#fc6d26" d="M132.58;185.84A88.19;88.19;0;0;0;97.44;170l-.26.69a48.54;48.54;0;0;0;16.1;56.1l.09.07.24.17;39.82;29.82s17-12.85;36.57-27.64Z"/>,,--error
