hex,token
#8a63f7,var(--brand-primary)
#9b73ff,var(--brand-primary)
#39c8f0,var(--brand-secondary)
#44b2f9,var(--brand-secondary)
#a48cff,var(--brand-accent)
#8c7dfe,var(--brand-accent)
#f8faff,var(--bg)
#151a2e,var(--bg)
#ffffff,var(--surface)
#1e2442,var(--surface)
#e5e7eb,var(--border)
#2c355c,var(--border)
#edf2ff,var(--muted)
#21305b,var(--muted)
#101828,var(--fg)
#e6e8f2,var(--fg)
#10b981,var(--success)
#34d399,var(--success)
#f59e0b,var(--warning)
#fbbf24,var(--warning)
#ef4444,var(--error)
#f87171,var(--error)
#3d4147,var(--muted)
#687280,var(--muted-fg)
#9ca3af,var(--border)
