hex,suggested_token
#ffffff,--surface
#222628,--fg
#e24329,--error
#fc6d26,--error
#fca326,--warning
#41444c,--muted-fg
#2e3036,--fg
#cfcfd0,--border
#32d583,--success
#0ba5ec,--brand-secondary
#e0f2fe,--muted
#026aa2,--success
#686c6f,--muted-fg
#535862,--muted-fg
#75d6ff,--brand-secondary
#85f8ff,--brand-secondary
#65a6f2,--brand-secondary
#000000,--fg
#3d4147,--muted-fg
#6f6f71,--muted-fg
#646768,--muted-fg
#a7a8a9,--brand-accent
#46c8ff,--brand-secondary
#fff,--surface
#000,--fg
#2df4d0,--brand-secondary
#0d2723,--fg
#aabbc2,--brand-accent
#ffffff00,--surface
#d1d5db,--border
#3b82f6,--brand-secondary
#0ea5e9,--brand-secondary
#06b6d4,--brand-secondary
#14b8a6,--success
#10b981,--success
#22c55e,--success
#84cc16,--warning
#eab308,--warning
#f59e0b,--warning
#f97316,--warning
#ef4444,--error
#f43f5e,--error
#ec4899,--error
#d946ef,--brand-primary
#a855f7,--brand-primary
#8b5cf6,--brand-primary
#6366f1,--brand-primary
#737373,--muted-fg
#78716c,--muted-fg
#6b7280,--muted-fg
#64748b,--muted-fg
#71717a,--muted-fg
#393d43,--muted-fg
#c2e7fe,--border
#0e0f0f,--fg
#1b1b1e,--fg
#27282a,--fg
#57585a,--muted-fg
#3f3f42,--muted-fg
#525355,--muted-fg
#434343,--muted-fg
#7cd4fd,--brand-secondary
#9f9fa0,--brand-accent
#1a1b1b,--fg
#252626,--fg
#36bffa,--brand-secondary
#1c1c1c,--fg
#252525,--fg
#53b1fd,--brand-secondary
#203c48,--fg
#255d75,--muted-fg
#b9e6fe,--border
#36463d,--muted-fg
#a6f4c5,--border
#acc1e6,--brand-accent
#293056,--muted-fg
#18191a,--fg
#a8a9ab,--brand-accent
#22343f,--fg
#fec84b,--warning
#3a3128,--fg
#f97066,--error
#37282b,--fg
#edf2fa,--muted
#f9fbfd,--bg
#eaeaea,--border
#7a7d7e,--muted-fg
#9ca3af,--brand-accent
#c8efff,--border
#184558,--muted-fg
#e2e7ee,--border
#d3d4d4,--border
#6e6f6f,--muted-fg
#d8d6d6,--border
#cccccc,--border
#d3d3d3,--border
#dedede,--border
#f5f5f5,--bg
#e9e9e9,--border
#f3f4f6,--muted
#dbe8fe,--muted
#b0c8f1,--border
#0284c7,--success
#c7e2ee,--border
#a3d9f1,--border
#0d3851,--fg
#d8f3ea,--border
#039855,--success
#6ce9a6,--brand-secondary
#e8f7fe,--muted
#854708,--muted-fg
#fef7e6,--bg
#b42318,--error
#fee4e2,--border
#302f30,--fg
#eeeeee,--border
#5fa4fa,--brand-secondary
#008eff,--brand-secondary
#bdbdbe,--border
#cdcdcd40,--border
#cdcdcd2e,--border
#cfcfcfcf,--border
#d0d0d0cf,--border
#18181b,--fg
#d9d9d9,--border
#41495d,--muted-fg
#293240,--fg
#151b23,--fg
#526a89,--muted-fg
#697784,--muted-fg
#181b1e,--fg
#3aa5d2,--brand-secondary
#2a7899,--muted-fg
#75a5ff,--brand-accent
#23e5ff,--brand-secondary
#3cdeb6,--brand-secondary
#364aff,--brand-primary
#f4ffd0,--border
#f25022,--error
#ffb901,--warning
#04a3ec,--brand-secondary
#32b37f,--success
#687280,--muted-fg
#8a63f7,--brand-primary
#39c8f0,--brand-secondary
#a48cff,--brand-accent
#f8faff,--bg
#101828,--fg
#e5e7eb,--border
#edf2ff,--muted
#475467,--muted-fg
#9b73ff,--brand-primary
#44b2f9,--brand-secondary
#8c7dfe,--brand-primary
#151a2e,--fg
#e6e8f2,--border
#1e2442,--fg
#2c355c,--muted-fg
#21305b,--muted-fg
#a3aed0,--brand-accent
#c9d1d9,--border
#0d1117,--fg
#ff7b72,--error
#d2a8ff,--brand-accent
#79c0ff,--brand-secondary
#a5d6ff,--border
#ffa657,--warning
#8b949e,--brand-accent
#7ee787,--success
#1f6feb,--brand-secondary
#f2cc60,--warning
#aff5b4,--border
#033a16,--fg
#ffdcd7,--border
#67060c,--fg
#24292e,--fg
#d73a49,--error
#6f42c1,--brand-primary
#005cc5,--success
#032f62,--fg
#e36209,--warning
#6a737d,--muted-fg
#22863a,--muted-fg
#735c0f,--muted-fg
#f0fff4,--bg
#b31d28,--error
#ffeef0,--bg
